Timestamp,Age Range,Which best describes you?,"Where do you spend most of your time in Golden? (e.g., where you live or work)",How long have you lived in or regularly spent time in Golden? ,"When you want to learn something new, be creative, or spend time around other people, where do you usually go now?  Select all that apply: ",What do you feel is most missing in Golden right now?  , Do you feel connected to people in Golden outside of your immediate family/friend group or workplace?  ,"If you'd like to share, what makes it hard to feel connected?","If Golden had a shared community space, which of the following would you be interested in?",Which 2-3 of these personally matter to you the most?,How often do you think you might realistically use a space like this?  ,"What would make the space feel welcoming to you? (e.g.,  pricing, age mix, location, programming style, atmosphere, etc.) ","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Taking classes or workshops]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Attending community events or clubs]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Using open space / creative / maker space]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Using a community kitchen or cafe]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Bringing kids or teens to activities]","If a new shared community space existed in Golden, how likely would you be to participate in the following?   [Attending talks or skill-sharing sessions]",Would you be interested in any of the following ways of being involved?  , What would make it easier for you to participate?  ,"What skills, interests, or knowledge could you imagine sharing with others? (e.g., woodworking, welding, cooking, sewing, art, home repair, gardening, tutoring, languages, technology, gaming, outdoor skills, 3D Printing, etc.) ","If you could design a community space in Golden, what would it look like or include?  You can describe it in words, share links, upload a sketch, or share a photo that represents the vibe (upload below).",Upload here!
2/5/2026 10:18:54,50-64,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",10+ years,"Golden Community Center, Coffee shops / breweries, Parks / trails / outdoors","Creative or maker spaces, Community gathering spaces that aren't bars",Not really,,"Woodworking / Metalworking, Electronics / Robots, 3D Printing / Design",Woodworking,Weekly,Equipment availability,Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Somewhat Likely,"Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment",,,
2/5/2026 10:26:23,24-34,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",4-10 years,"Gym / fitness studio, Coffee shops / breweries, Parks / trails / outdoors, Home, Outside of Golden","Affordable activities and classes, Community gathering spaces that aren't bars",Not really,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Sewing, Mending, or Fiber Arts, Ceramics, Outdoor skills or environmental workshops",,A few times a year,,Somewhat Likely,Not Likely,Somewhat Likely,Not Likely,Not Likely,Somewhat Likely,Paying for individual classes or workshops,"Low-Cost or sliding scale plan, Evening and weekend hours, Close to transit or bike routes","Knitting, bike repair, cooking, science",,
2/5/2026 10:26:55,65+,Retired,"West of 6th (Beverly Heights, Golden Ridge, Lookout)",4-10 years,"Gym / fitness studio, Golden Community Center, Coffee shops / breweries, Library, Parks / trails / outdoors, Home, Outside of Golden","Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Somewhat,"Lack of time (I know, I'm retired)","Cooking classes or shared kitchen events, Clubs (book, film, language, etc.), Sewing, Mending, or Fiber Arts, Talks or community discussions","Film club, talks",A few times a month,"Age mix, programming style ",Very Likely,Somewhat Likely,Not Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Helping with events","Evening and weekend hours, Being able to drop in without committment",I would like to learn the basics of using a sewing machine. I hook rugs and I would be able to teach that,"Informal sitting areas, refreshments served, classrooms",
2/5/2026 10:39:58,24-34,Working Full-Time,North Golden (North of 58),10+ years,"Gym / fitness studio, Coffee shops / breweries","Creative or maker spaces, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people","Yes, very",,"Small business development /entrepeneurship, Household repair clinics (fixing small appliances, bikes, gear, etc.), Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops",creative space for any arts and outdoor skills,A few times a month,"pricing, atmosphere, clear inviting language",Very Likely,Somewhat Likely,Very Likely,Not Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Being able to drop in without committment",,,
2/5/2026 10:51:58,65+,Retired,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,Parks / trails / outdoors,"Places for teens to hang out, ",Not really,,Multicultural events,,A few times a year,"Pricing, atmosphere",Somewhat Likely,Very Likely,Not Likely,Very Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Helping with events",Being able to drop in without committment,,Multicultural,
2/5/2026 10:53:12,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Golden Community Center, Coffee shops / breweries, Library, Parks / trails / outdoors, Home","Creative or maker spaces, Places for teens to hang out, Affordable activities and classes, Community gathering spaces that aren't bars, Ways to meet new people",Somewhat,"I’d love to have a family friendly space for the creative arts that is more affordable/ accessible than foothills. Miners has classes for kids or for adults but not both, similar to rh library and foothills. I am a full time worker with two small children so the time I have free in evenings or weekends I like to spend with my kids. I’d like to have some indoor options that we can do TOGETHER with other families. Like combined art classes.","Cooking classes or shared kitchen events, Clubs (book, film, language, etc.), Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Outdoor skills or environmental workshops","Art classes, cooking space, or clubs",Weekly,"Free or subsidized for golden residents, local to the downtown area, children included and welcomed",Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming","Painting, skiing, running","We have great spaces but I’d like to have more opportunities to do social activities with all ages, including my kids. We don’t have nearby grandparents so my ideal space would have lots of classes and programs where ages 0-110 can do things TOGETHER. I would like to have friends who are my parents age or older and I’d like my kids to have friends that age too! I don’t see any reason we could attend a photography ,dance, cooking, or pottery class that is accessible to 3 year olds, 30 year olds, 60 year olds, and 90 year olds.",
2/5/2026 11:32:43,35-49,Working Part-Time,I live outside Golden but spend time here,I grew up here,"Gym / fitness studio, Private classes or studios","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills",Somewhat,,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Woodworking / Metalworking, Sewing, Mending, or Fiber Arts, Talks or community discussions","Talks & Discussions, Clubs, Adult Education in general",A few times a year,"Pricing, location, ease of registration",Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment",,,
2/5/2026 11:35:28,24-34,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Golden Community Center, Parks / trails / outdoors, Outside of Golden","Affordable activities and classes, Community gathering spaces that aren't bars, Ways to meet new people",Somewhat,Not great spaces to connect. Lots of non locals come in for events. Restaurants and bars don’t cater to locals with discounts or events specific for locals.,"Cooking classes or shared kitchen events, Talks or community discussions, Outdoor skills or environmental workshops","Community talks, better reactants and bars that aren’t all pizza and burgers that are pricey.",Weekly,"Price, location, atmosphere",Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,Paying for individual classes or workshops,Low-Cost or sliding scale plan,Less about skills and more about something fun and interesting in golden that isn’t just pizza and burgers.,"I’m not sure, but I think what does exist in Golden doesn’t cater the locals. Food is okay, over priced, all the same. Arvada has a much more interesting downtown with restaurants and shops that are good and different. Restaurants or a space that hosts fun events that attract necessarily a home making skill just something for friends and couples to hang out and connect would be nice. Theres not a lot of options for that now.",
2/5/2026 11:44:51,35-49,Working Full-Time,I live outside Golden but spend time here,4-10 years,"Gym / fitness studio, Golden Community Center, Coffee shops / breweries, Parks / trails / outdoors, Outside of Golden","Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Woodworking / Metalworking, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","Household repair, ceramics, outdoor skills/environmental workshops",Weekly,,Very Likely,Very Likely,Not Likely,Very Likely,Not Likely,Somewhat Likely,"Becoming a low-cost monthly member, Volunteering ocassionally","Low-Cost or sliding scale plan, Evening and weekend hours",,,
2/5/2026 11:49:48,24-34,Working Full-Time,North Golden (North of 58),4-10 years,Parks / trails / outdoors,"Creative or maker spaces, Affordable activities and classes",Somewhat,I wish there was a way for younger people to easily connect with the older generation in Golden,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Study or work space, Sewing, Mending, or Fiber Arts, Ceramics, Talks or community discussions, Outdoor skills or environmental workshops","Repairs, cooking class, sewing ",A few times a month,Cheap and downtown ,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Close to transit or bike routes",Gardening and music ,Community classes hosted by the community. Things like “make your yard more native & how to get rid of invasive plants” or “learn how to fix your door so cold air doesn’t get in” or “learn how to do minor sewing repairs” ,
2/5/2026 12:20:06,24-34,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",I grew up here,"Coffee shops / breweries, Library, Parks / trails / outdoors, Home","Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people","No, I feel pretty disconnected",Nothing to break down the “stranger” wall,"Cooking classes or shared kitchen events, Woodworking / Metalworking, Talks or community discussions, Outdoor skills or environmental workshops","Cooking, woodworking",Weekly,"Low price, age mix",Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming",Outdoor education,,
2/5/2026 12:51:25,35-49,Parent / Caregiver,"West of 6th (Beverly Heights, Golden Ridge, Lookout)",10+ years,"Gym / fitness studio, Coffee shops / breweries, Library, Parks / trails / outdoors","Creative or maker spaces, Places for teens to hang out, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, Ways to meet new people",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Clubs (book, film, language, etc.), Woodworking / Metalworking, Sewing, Mending, or Fiber Arts, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops, All of that sounds really cool. ",I would probably check out the offerings no matter what. If they changed frequently it would keep things fresh. ,A few times a month,Probably the programing offered would decide if and how our family utilized the center ,Very Likely,Somewhat Likely,Somewhat Likely,Not Likely,Very Likely,Somewhat Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Teaching or helping lead activities, Donating tools, supplies, or equipment","Teen-only spaces or programs, Weekday programming while kids are at school during the day ",Possibly baking or sewing ,I’m not sure. So many things to consider. ,
2/5/2026 13:11:41,65+,Retired,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Parks / trails / outdoors, Home",Creative or maker spaces,Somewhat,"A place for for retired artists. Moscians,ect","Small business development /entrepeneurship, Clubs (book, film, language, etc.), Artists and musician jam place",Musicians,Weekly,Volunteer sessions,Somewhat Likely,Somewhat Likely,Very Likely,Not Likely,Somewhat Likely,Very Likely,Volunteering ocassionally,"Low-Cost or sliding scale plan, Evening and weekend hours, Teen-only spaces or programs, Being able to drop in without committment",30yrs performing and managing musicians,Central golden,
2/5/2026 15:04:15,24-34,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",10+ years,"Coffee shops / breweries, Parks / trails / outdoors","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills","No, I feel pretty disconnected","Most of Golden is a different demographic than myself. Most of the people who live here are students, young families, or retired. As a working professional without children, it does not feel like Golden caters to me.","Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Study or work space, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Outdoor skills or environmental workshops","A repair studio/clinics, affordable work space, and workshops",Weekly,Pricing and flexible hours for working people,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Teaching or helping lead activities, Helping with events, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours","Art, sewing, bike repair, tutoring, outdoor skills, music, resume writing",,
2/5/2026 15:49:55,35-49,Working Full-Time,"Downtown / Central Golden (South of 58, North of 24th Street)",10+ years,"Coffee shops / breweries, Parks / trails / outdoors","Creative or maker spaces, Affordable activities and classes","Yes, very",,"Small business development /entrepeneurship, Cooking classes or shared kitchen events, Clubs (book, film, language, etc.), Study or work space, Woodworking / Metalworking, Sewing, Mending, or Fiber Arts, Ceramics, Talks or community discussions","Clubs, creative activities, entrepreneurship ",Weekly,"Pricing, age mix",Very Likely,Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Being able to drop in without committment",,,
2/5/2026 16:00:05,35-49,Working Full-Time,"South Golden (South of 24th Street, including West Pleasant View)",4-10 years,"Gym / fitness studio, Golden Community Center, Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios, Home","Affordable activities and classes, Community gathering spaces that aren't bars, Ways to meet new people",Not really,"I feel like I frequent the same places, but rarely at the same time, and either on my own or with friends, so I don’t interact much with people when I’m out. I don’t feel like the opportunities for hat are immediately available. ","Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Clubs (book, film, language, etc.), Study or work space, Talks or community discussions, Outdoor skills or environmental workshops","Talks or community discussions, clubs, and free community spaces for teen! I don’t have a teen but recognize that’s important for your community",A few times a month,Low pricing and available to a mix of ages and backgrounds. ,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,"Paying for individual classes or workshops, Volunteering ocassionally, Teaching or helping lead activities, Helping with events","Low-Cost or sliding scale plan, Evening and weekend hours, Being able to drop in without committment, Close to transit or bike routes",I love learning particular skills!  Anything that helps build community and share resources ,,
2/5/2026 16:01:00,35-49,Working full time and a parent,"West of 6th (Beverly Heights, Golden Ridge, Lookout)",10+ years,"Golden Community Center, Coffee shops / breweries, Parks / trails / outdoors","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills, More multi-age activities",Somewhat,,"Cooking classes or shared kitchen events, Woodworking / Metalworking, 3D Printing / Design, Sewing, Mending, or Fiber Arts, Ceramics, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops",,A few times a month,"Mixed ages, welcoming to adult adults, children, and older ",Somewhat Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,"Becoming a low-cost monthly member, Volunteering ocassionally, Donating tools, supplies, or equipment","Low-Cost or sliding scale plan, Evening and weekend hours, Child-friendly programming, Being able to drop in without committment",,,
2/5/2026 16:10:33,50-64,Retired,"South Golden (South of 24th Street, including West Pleasant View)",10+ years,"Golden Community Center, Coffee shops / breweries, Library, Parks / trails / outdoors, Home, Outside of Golden","Creative or maker spaces, Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills",Somewhat,,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Clubs (book, film, language, etc.), Sewing, Mending, or Fiber Arts, Painting / Drawing / Printmaking, Talks or community discussions, Outdoor skills or environmental workshops","Cooking, biking, community discussions",A few times a year,,Very Likely,Very Likely,Very Likely,Somewhat Likely,Not Likely,Very Likely,"Volunteering ocassionally, Helping with events",Being able to drop in without committment,,,
2/5/2026 17:28:24,24-34,Working Full-Time,North Golden (North of 58),4-10 years,"Coffee shops / breweries, Parks / trails / outdoors, Outside of Golden","Affordable activities and classes, Community gathering spaces that aren't bars, Opportunities to learn practical skills",Not really,,"Clubs (book, film, language, etc.), Study or work space, Talks or community discussions, Outdoor skills or environmental workshops","Talks or community discussions, clubs, environmental workshops",A few times a month,,Very Likely,Very Likely,Not Likely,Somewhat Likely,Not Likely,Very Likely,"Paying for individual classes or workshops, Becoming a low-cost monthly member, Volunteering ocassionally, Helping with events","Evening and weekend hours, Being able to drop in without committment, Close to transit or bike routes",How to get involved with Bike Walk Golden and other ways to make our city better!,"Areas for quieter activities, spots to hang out with food and drinks, areas for kids while parents are hanging out",
2/5/2026 18:31:27,50-64,Working Full-Time,North Golden (North of 58),10+ years,"Coffee shops / breweries, Parks / trails / outdoors, Private classes or studios, Rotary/Lions/Chamber/GWIB",Places for teens to hang out,"Yes, very",,"Cooking classes or shared kitchen events, Household repair clinics (fixing small appliances, bikes, gear, etc.), Teen-only hangout space, Woodworking / Metalworking, Sewing, Mending, or Fiber Arts",,A few times a month,,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Likely,Somewhat Likely,D,Being able to drop in without committment,,,
